strain	selection_date	vaccine_start_date
A/Wuhan/359/1995-egg	1996-02-23	1996-11-23
A/Nanchang/933/1995-egg	1997-02-28	1997-11-28
A/Sydney/5/1997-egg	1998-02-27	1998-11-27
A/Moscow/10/1999-egg	1999-10-01	2000-07-01
A/Panama/2007/1999-egg	2000-02-25	2000-11-25
A/Fujian/411/2002-egg	2003-10-24	2004-07-24
A/Wyoming/3/2003-egg	2003-10-24	2004-07-24
A/Wellington/1/2004-egg	2004-10-08	2005-07-08
A/NewYork/55/2004-egg	2004-10-08	2005-07-08
A/California/7/2004-egg	2005-02-25	2005-11-25
A/Wisconsin/67/2005-egg	2006-02-21	2006-11-21
A/Brisbane/10/2007-egg	2007-09-25	2008-06-25
A/Perth/16/2009-egg	2009-09-25	2010-06-25
A/Victoria/361/2011-egg	2012-02-21	2012-11-21
A/Texas/50/2012-egg	2013-09-25	2014-06-25
A/Switzerland/9715293/2013-egg	2014-09-25	2015-06-25
A/HongKong/4801/2014-egg	2015-09-24	2016-06-24
A/Singapore/Infimh-16-0019/2016-egg	2017-09-28	2018-06-28
A/Switzerland/8060/2017-egg	2018-09-27	2019-06-27
A/Kansas/14/2017-egg	2019-03-21	2019-12-21
A/SouthAustralia/34/2019-egg	2019-09-27	2020-06-27
